Time,Open,High,Low,Close,Volume
2023-01-01 00:00:00,16541.77,16544.76,16520.0,16520.69,1172.53835
2023-01-01 00:15:00,16521.26,16545.7,16517.72,16544.19,1102.62888
2023-01-01 00:30:00,16544.19,16544.61,16508.39,16515.43,1365.65633
2023-01-01 00:45:00,16515.91,16536.84,16515.43,16529.67,724.01214
2023-01-01 01:00:00,16529.59,16541.8,16525.78,16538.21,977.2468
2023-01-01 01:15:00,16537.68,16540.82,16530.76,16534.6,661.68521
2023-01-01 01:30:00,16534.02,16543.38,16530.62,16539.94,792.69185
2023-01-01 01:45:00,16539.94,16556.8,16538.03,16551.47,1158.44283
2023-01-01 02:00:00,16551.47,16551.59,16539.57,16549.03,903.09653
2023-01-01 02:15:00,16549.02,16555.0,16546.48,16552.89,804.41804
2023-01-01 02:30:00,16552.89,16559.77,16538.38,16538.77,879.62878
2023-01-01 02:45:00,16538.77,16549.12,16538.14,16548.19,731.69703
2023-01-01 03:00:00,16548.19,16548.19,16523.34,16527.87,1559.42213
2023-01-01 03:15:00,16527.44,16533.09,16518.21,16529.89,1253.37828
2023-01-01 03:30:00,16529.89,16537.42,16526.74,16533.68,726.2119
2023-01-01 03:45:00,16533.68,16537.72,16529.53,16533.04,703.06819
2023-01-01 04:00:00,16533.04,16535.97,16524.57,16526.12,840.02655
2023-01-01 04:15:00,16526.12,16530.25,16516.49,16518.59,1411.33708
2023-01-01 04:30:00,16518.31,16525.95,16517.58,16519.47,848.75887
2023-01-01 04:45:00,16519.96,16526.99,16511.92,16521.85,1184.88659
2023-01-01 05:00:00,16522.22,16524.0,16512.3,16518.37,1026.4706
2023-01-01 05:15:00,16518.77,16522.66,16512.31,16521.07,1022.11408
2023-01-01 05:30:00,16521.42,16522.75,16514.79,16520.02,669.28025
2023-01-01 05:45:00,16520.03,16534.98,16518.85,16530.71,999.50685
2023-01-01 06:00:00,16530.71,16543.69,16528.81,16537.72,949.23319
2023-01-01 06:15:00,16538.05,16550.0,16537.64,16544.63,976.15533
2023-01-01 06:30:00,16545.02,16545.96,16538.41,16544.68,700.60455
2023-01-01 06:45:00,16544.38,16546.93,16538.46,16539.79,718.90899
2023-01-01 07:00:00,16539.79,16544.57,16522.42,16530.26,1473.82665
2023-01-01 07:15:00,16530.82,16530.82,16499.01,16522.78,1815.73002
2023-01-01 07:30:00,16522.28,16529.98,16504.17,16525.24,973.59913
